127.0.0.1 - - [14/Mar/2015:14:32:26 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:28 -0700] "GET /WebQuiz/homepage.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:28 -0700] "GET /WebQuiz/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:28 -0700] "GET /WebQuiz/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /WebQuiz/homepage.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /WebQuiz/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /WebQuiz/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /WebQuiz/img/logo.jpg HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /WebQuiz/img/wave.jpg HTTP/1.1" 200 202543
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /WebQuiz/font/pulsarjs.ttf HTTP/1.1" 200 15716
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:41 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:57 -0700] "GET /WebQuiz/homepage.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:57 -0700] "GET /WebQuiz/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:57 -0700] "GET /WebQuiz/css/style.css HTTP/1.1" 200 17430
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:59 -0700] "GET /WebQuiz/img/wave.jpg HTTP/1.1" 200 202543
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:59 -0700] "GET /WebQuiz/img/logo.jpg HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:32:59 -0700] "GET /WebQuiz/font/pulsarjs.ttf HTTP/1.1" 200 15716
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:33:52 -0700] "GET /WebQuiz/signup.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:34:20 -0700] "POST /WebQuiz/SignupServlet HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:34:25 -0700] "GET /WebQuiz/homepage.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:34:37 -0700] "POST /WebQuiz/LoginServlet HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:34:41 -0700] "GET /WebQuiz/signup.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:34:52 -0700] "POST /WebQuiz/SignupServlet HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:34:54 -0700] "GET /WebQuiz/homepage.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:35:01 -0700] "POST /WebQuiz/LoginServlet HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:35:13 -0700] "POST /WebQuiz/SearchServlet HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:35:07 -0700] "GET /WebQuiz/MyPageServlet?id=hugh1 HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:35:10 -0700] "POST /WebQuiz/AddFriendServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:35:10 -0700] "GET /WebQuiz/MyPageServlet?id=hugh1 HTTP/1.1" 200 4423
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:35:16 -0700] "GET /WebQuiz/MyPageServlet?id=hugh1 HTTP/1.1" 200 4391
